,days,date,cases,daily_cases,slope,14_day_avg,new_cases14,slope14,masks
0,0,2020-03-12,1,1.0,1.0,0.0,0.0,0.0,0.0
1,1,2020-03-13,1,0.0,-1.0,0.0,0.0,0.0,0.0
2,2,2020-03-14,6,5.0,5.0,1.0,1.0,1.0,0.0
3,3,2020-03-15,6,0.0,-5.0,1.0,0.0,-1.0,0.0
4,4,2020-03-16,22,16.0,16.0,3.0,2.0,2.0,0.0
5,5,2020-03-17,24,2.0,-14.0,4.0,1.0,-1.0,0.0
6,6,2020-03-18,28,4.0,2.0,6.0,2.0,1.0,0.0
7,7,2020-03-19,32,4.0,0.0,9.0,3.0,1.0,0.0
8,8,2020-03-20,45,13.0,9.0,12.0,3.0,0.0,0.0
9,9,2020-03-21,52,7.0,-6.0,16.0,4.0,1.0,0.0
10,10,2020-03-22,57,5.0,-2.0,20.0,4.0,0.0,0.0
11,11,2020-03-23,89,32.0,27.0,26.0,6.0,2.0,0.0
12,12,2020-03-24,103,14.0,-18.0,33.0,7.0,1.0,0.0
13,13,2020-03-25,111,8.0,-6.0,41.0,8.0,1.0,0.0
14,14,2020-03-26,128,17.0,9.0,50.0,9.0,1.0,0.0
15,15,2020-03-27,141,13.0,-4.0,60.0,10.0,1.0,0.0
16,16,2020-03-28,152,11.0,-2.0,71.0,11.0,1.0,0.0
17,17,2020-03-29,171,19.0,8.0,82.0,11.0,0.0,0.0
18,18,2020-03-30,190,19.0,0.0,94.0,12.0,1.0,0.0
19,19,2020-03-31,204,14.0,-5.0,107.0,13.0,1.0,0.0
20,20,2020-04-01,218,14.0,0.0,121.0,14.0,1.0,0.0
21,21,2020-04-02,235,17.0,3.0,135.0,14.0,0.0,0.0
22,22,2020-04-03,242,7.0,-10.0,150.0,15.0,1.0,0.0
23,23,2020-04-04,252,10.0,3.0,164.0,14.0,-1.0,0.0
24,24,2020-04-05,267,15.0,5.0,179.0,15.0,1.0,0.0
25,25,2020-04-06,280,13.0,-2.0,192.0,13.0,-2.0,0.0
26,26,2020-04-07,310,30.0,17.0,207.0,15.0,2.0,0.0
27,27,2020-04-08,344,34.0,4.0,224.0,17.0,2.0,0.0
28,28,2020-04-09,375,31.0,-3.0,242.0,18.0,1.0,0.0
29,29,2020-04-10,415,40.0,9.0,261.0,19.0,1.0,0.0
30,30,2020-04-11,464,49.0,9.0,283.0,22.0,3.0,0.0
31,31,2020-04-12,557,93.0,44.0,311.0,28.0,6.0,0.0
32,32,2020-04-13,557,0.0,-93.0,337.0,26.0,-2.0,0.0
33,33,2020-04-14,558,1.0,1.0,362.0,25.0,-1.0,0.0
34,34,2020-04-15,651,93.0,92.0,393.0,31.0,6.0,0.0
35,35,2020-04-16,651,0.0,-93.0,423.0,30.0,-1.0,0.0
36,36,2020-04-17,806,155.0,155.0,463.0,40.0,10.0,0.0
37,37,2020-04-18,875,69.0,-86.0,508.0,45.0,5.0,0.0
38,38,2020-04-19,924,49.0,-20.0,555.0,47.0,2.0,0.0
39,39,2020-04-20,975,51.0,2.0,604.0,49.0,2.0,0.0
40,40,2020-04-21,1013,38.0,-13.0,655.0,51.0,2.0,0.0
41,41,2020-04-22,1073,60.0,22.0,707.0,52.0,1.0,0.0
42,42,2020-04-23,1132,59.0,-1.0,761.0,54.0,2.0,0.0
43,43,2020-04-24,1200,68.0,9.0,817.0,56.0,2.0,0.0
44,44,2020-04-25,1287,87.0,19.0,876.0,59.0,3.0,0.0
45,45,2020-04-26,1332,45.0,-42.0,931.0,55.0,-4.0,0.0
46,46,2020-04-27,1416,84.0,39.0,992.0,61.0,6.0,0.0
47,47,2020-04-28,1524,108.0,24.0,1061.0,69.0,8.0,0.0
48,48,2020-04-29,1633,109.0,1.0,1132.0,71.0,2.0,0.0
49,49,2020-04-30,1738,105.0,-4.0,1209.0,77.0,6.0,0.0
50,50,2020-05-01,1829,91.0,-14.0,1282.0,73.0,-4.0,0.0
51,51,2020-05-02,1980,151.0,60.0,1361.0,79.0,6.0,0.0
52,52,2020-05-03,2151,171.0,20.0,1449.0,88.0,9.0,0.0
53,53,2020-05-04,2298,147.0,-24.0,1543.0,94.0,6.0,0.0
54,54,2020-05-05,2519,221.0,74.0,1651.0,108.0,14.0,0.0
55,55,2020-05-06,2764,245.0,24.0,1772.0,121.0,13.0,0.0
56,56,2020-05-07,2962,198.0,-47.0,1902.0,130.0,9.0,0.0
57,57,2020-05-08,3153,191.0,-7.0,2042.0,140.0,10.0,0.0
58,58,2020-05-09,3379,226.0,35.0,2191.0,149.0,9.0,0.0
59,59,2020-05-10,3558,179.0,-47.0,2350.0,159.0,10.0,0.0
60,60,2020-05-11,3744,186.0,7.0,2517.0,167.0,8.0,0.0
61,61,2020-05-12,4033,289.0,103.0,2696.0,179.0,12.0,0.0
62,62,2020-05-13,4183,150.0,-139.0,2878.0,182.0,3.0,0.0
